NBC,BOX NO.,REV,6 DIGIT,LENGTH,WIDTH,DEPTH,STYLE,TEST,PRINTING,COMENT,PZS X HOJA,MEDIDA CORTE A CORTE,ANCHO  CM,LARGO CM,TAPA CM,ALTURA CM,FONDO CM,MATERIAL,OUT/LENGTH,OUT/WIDTH,OUT/DEPTH,CUBE/1,CUBE/12,CUBE/6,CUBE/4,GIR&LNTH/84,SQ FT OF ITEM,LB PER SQ FT,ITEM WT/LB,T/B FLAT DIM,L/R FLAT DIM
NBC115,B4-BROWN,NA,406635,3.4375,3.4375,3,TTQB,.018CCNB,PLAIN ,WHITE (CLAY COATED) SIDE TO BE CARTON INSIDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,C3-GENPRTS,NA,406749,3.875,3.875,5.8125,TTQB,.018CCNB,GENUINE PARTS,BLACK AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,G1-WHITE,NA,406876,4.5625,4.5625,5.25,TTQB,.018CCNB,PLAIN,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,P1-1/2-4B-WHITE,NA,407045,4.25,1.5,4.25,MSTE,.024CCNB,PLAIN ,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,B1-WHITE,NA,407117,3.4375,3.4375,4.375,TTQB,.018CCNB,PLAIN ,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,B1-1/2-WHITE,NA,407162,3.4375,3.4375,5.125,TTQB,.018CCNB,PLAIN ,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,B2-WHITE,NA,407426,3.4375,3.4375,6.3125,TTQB,.018CCNB,PLAIN ,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,P3-3/4-6D-WHITE,NA,407466,6.75,3.75,6.75,MSTE,.024CCNB,PLAIN ,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,G3-WHITE,NA,407570,4.5625,4.5625,9.25,TTQB,.018CCNB,PLAIN ,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,B3-WHITE,NA,407740,3.4375,3.4375,7.625,TTQB,.018CCNB,PLAIN ,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,A3-WHITE,NA,410688,3.0625,3.0625,9.0625,TTQB,.018CCNB,PLAIN ,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,C3-YAN,NA,411350,3.875,3.875,5.8125,TTQB,.018CCNB,YANMAR,PMS 200 RED AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,J1-WHITE,NA,454150,2.5,2.5,2,TTQB,.018CCNB,PLAIN ,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,A1-WHITE,NA,455962,3.0625,3.0625,4.5,TTQB,.018CCNB,PLAIN ,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
